TextID	Contents
Menu_OK	确定
Menu_Cancel	取消
Menu_Close	关闭
Menu_Tips	提示
Menu_Title_Tips	提示
Menu_CheckDataAsset	检查配置更新…
Menu_DownloadDataAsset	更新配置中…
Menu_CheckEventAsset	检查活动更新…
Menu_DownloadEventAsset	更新活动资源中…
Menu_LoadData	加载配置中…
Menu_LoadDataFinish	加载配置完成
Menu_NetError	网络错误
Menu_Tittle_DispatchUnknownErr	分发服务器错误
Menu_Desc_ConnectDispatchErr	分发服务器访问失败，请点击确定尝试重新连接
Menu_Desc_ConnectGlobalDispatchErr	分发服务器G访问失败，请点击确定尝试重新连接
Menu_Tittle_GlobalDispatchUnknownErr	分发服务器G错误
Menu_Title_NewVersion	发现新版本
Menu_Title_ServerStop	停服维护中
Menu_ServerStopTime	停服时间：#1~#2
Menu_Desc_DownloadDataAssetErr	下载数值文件失败，请确认应用读写文件的权限，\n以及手机存储空间，然后点击确定尝试重新下载
Menu_Desc_DownloadEventAssetErr	下载活动资源失败，请确认应用读写文件的权限，\n以及手机存储空间，然后点击确定尝试重新下载
Menu_MihoyoAccountLogin	已有账号登录
Menu_MihoyoAccountRegister	注册米哈游账号
Menu_MihoyoTryUser	游客入口
Menu_MihoyoChangeUser	更换账号
Menu_MihoyoAccountLogin_2	米哈游账号登录
Menu_MihoyoAccountTimeOut	请求超时，点击确定重新尝试
Menu_MihoyoAccountTokenError	为了账号安全，需要重新输入密码
Menu_Desc_AssetBundleError	数据文件错误，点击确定退出游戏
Menu_Title_FatalError	出现错误，是否选择继续游戏
Menu_Desc_FatalError	严重错误出现！点击确定中止游戏
Menu_QuitGame	退出游戏
Menu_ContinueGame	继续游戏
Menu_Desc_GuestLogin	游客登录不能保证账号安全，确定要用游客登录吗？
Menu_Desc_EscQuitGame	舰长~真的要退出游戏吗？
ENTRY_CONNECT_GLOBAL_DISPATCH	着舰请求发送中…
ENTRY_CONNECT_GLOBAL_DISPATCH_SUCCESS	休伯利安号着舰请求批准！
ENTRY_CONNECT_GLOBAL_DISPATCH_ERR	休伯利安号着舰请求驳回！
ENTRY_CONNECT_GLOBAL_DISPATCH_TIMEOUT	着舰请求消息超时！
ENTRY_CONNECT_LOCAL_DISPATCH	分配操控系统为引导巡航！
ENTRY_CONNECT_LOCAL_DISPATCH_SUCCESS	引导巡航接入成功！
ENTRY_CONNECT_LOCAL_DISPATCH_FAIL	引导巡航接入失败！
ENTRY_CHECK_DATA_ASB_START	开始对接ASB数据通道！
ENTRY_CHECK_DATA_ASB_SUCCESS	ASB数据通道同步完成！
ENTRY_CHECK_DATA_ASB_	ASB数据通道同步完成！
ENTRY_CHECK_DATA_ASB_FAIL	ASB数据通道同步失败！
ENTRY_DOWNLOAD_DATA_ASB_START	需要升级ASB精神同步，开始接驳
ENTRY_DOWNLOAD_DATA_ASB_NO_DOWNLOAD	无需升级ASB精神同步
ENTRY_DOWNLOAD_DATA_FAIL	ASB精神同步异常
ENTRY_CHECK_EVENT_ASB_START	开始检查ASB神经回路
ENTRY_CHECK_EVENT_ASB_SUCCESS	ASB神经回路检查成功
ENTRY_CHECK_EVENT_ASB_FAIL	ASB神经回路存在异常
ENTRY_DOWNLOAD_EVENT_ASB_START	ASB神经回路需要自适应调整
ENTRY_DOWNLOAD_EVENT_ASB_NO_DOWNLOAD	ASB神经回路无须自适应调整
ENTRY_DOWNLOAD_EVENT_ASB_FAIL	ASB神经回路调整不能
ENTRY_PREPARED	点击任意处进入游戏
ENTRY_PREPARED_LOGIN	请选择登录方式\n（官网预登录用户请选择已有账号登录）
Menu_ConnectGlobalDispatch	正在连接网络…
